index;noticia;link_noticia;web;usuario;id_usuario;fecha_envio;fecha_publicacion;meneos;clicks;comentarios;votos_positivos;votos_anonimos;votos_negativos;karma;sub;extracto
4144466;Las flores de cristal;https://www.huh.harvard.edu/glass-flowers;huh.harvard.edu;Dakaira;842531;1770453934;1770459902;81;1756;12;45;36;0;350;cultura; Las Flores de Cristal fueron encargadas por el profesor George Lincoln Goodale, director fundador del Museo Botánico de Harvard, y financiada por los benefactores Mary Lee Ware y su madre, Elizabeth. Durante más de cincuenta años, desde 1886 hasta 1936, los Blaschkas produjeron 4.300 modelos de vidrio que representan 780 especies de plantas exclusivamente para Harvard.  
4144375;La Universidad de La Habana suspende clases presenciales por crisis energética;https://www.launion.com.mx/morelos/internacional/noticias/288626-universidad-de-la-habana-suspende-clases-presenciales-por-crisis-energetica.html;launion.com.mx;teneram;22303;1770411199;1770456902;234;304;352;109;125;0;332;actualidad; La Universidad de La Habana anunció este viernes la suspensión de las clases presenciales por 30 días debido a la crisis energética que enfrenta el país, agravada por el bloqueo petrolero impuesto por Estados Unidos. Según un comunicado de la institución, se pospondrán las actividades asociadas al Congreso Universidad 2026 y se extenderá la modalidad semipresencial a todas las carreras y programas de Técnico Superior Universitario (TSU) a partir del viernes 6 de febrero.  
4144342;"Silvia Intxaurrondo anuncia un ""nuevo varapalo"" para El Mundo en su batalla judicial: ""La condena es firme""";https://www.elplural.com/extratele/silvia-intxaurrondo-nuevo-varapalo-mundo-batalla-judicial-condena-firme_380722102;elplural.com;Delay;756952;1770405569;1770454202;495;1544;40;211;284;1;374;Tribunales; La justicia ha vuelto a darle la razón tras presentar una demanda en la que le pedía al diario dirigido por Joaquín Manso una rectificación por una información que publicó sobre el salario que percibía en RTVE.  
4144425;Votante de Trump en tres ocasiones: Voté a Trump, pero de verdad quiero pedir disculpas por haber apoyado a este hombre tan, tan podrido [ENG];https://www.commondreams.org/news/trump-voters-regret;commondreams.org;Grahml;752178;1770428051;1770453302;327;2666;106;132;195;3;322;actualidad; Votante de Trump en tres ocasiones: Voté a Trump, pero de verdad quiero pedir disculpas. Estoy viendo esta horrible foto de los Obama. Qué vergüenza para nuestro país. Este hombre no hace más que mentir. No es digno de la presidencia. Acepta sobornos descaradamente, y ahora está siendo racista de forma descarada. Es patético como presidente, y solo quiero disculparme ante todo el país por haber apoyado a este hombre tan, tan podrido.  
4144410;Cómo deshabilitar 13 funciones de IA en Windows 11 de forma segura, sin aplicaciones de terceros [ENG];https://www.windowslatest.com/2026/02/06/how-i-disabled-13-ai-features-in-windows-11-safely-no-third-party-apps-needed/;windowslatest.com;Ms2;797719;1770419601;1770450003;161;1635;58;73;88;0;318;tecnología; Guía paso a paso sobre cómo deshabilitar varias funciones de IA en Windows 11, incluyendo Copilot, Acciones de IA y otras funcionalidades de IA integradas en diferentes aplicaciones como Edge, Fotos, Bloc de notas, Paint y Outlook.  
4144395;"Documentos judiciales muestran que la ""máxima prioridad"" de las grandes tecnológicas ha sido conseguir la adicción adolescente [en]";https://techoversight.org/2026/01/25/top-report-mdl-jan-25/;techoversight.org;rogerius;186679;1770416239;1770448502;629;874;106;245;384;1;322;actualidad; The Tech Oversight Project ha publicado un nuevo informe que desvela los documentos de los juicios de 2026 de la adicción a las social media. Proporcionan evidencias de que Meta, Google, Snap y TikTok han diseñado a propósito sus productos de redes sociales para conseguir la adicción de niños y adolescentes sin tener en cuenta el daño a su bienestar y cómo esa adicción es fundamental para los modelos de negocio de las empresas.  
4144432;J.D. Vance es abucheado en la ceremonia inaugural de los Juegos Olímpicos de Invierno;https://www.primerahora.com/deportes/otros/notas/jd-vance-es-abucheado-en-la-ceremonia-inaugural-de-los-juegos-olimpicos-de-invierno/;primerahora.com;Grahml;752178;1770433400;1770447002;413;1710;19;163;250;0;333;actualidad; Los atletas estadounidenses recibieron una bienvenida entusiasta en la ceremonia inaugural de los Juegos Olímpicos de Invierno de Milán Cortina, pero el ambiente cambió cuando las cámaras se enfocaron brevemente en el vicepresidente J.D. Vance. Liderados por la patinadora de velocidad y abanderada Erin Jackson, el equipo de Estados Unidos estuvo entre las últimas delegaciones en ingresar al estadio San Siro de Milán en el desfile de naciones el viernes.  
4143759;Qué tienen que ver la corriente en chorro y el cambio climático con el tren de borrascas que azota España;https://www.eldiario.es/sociedad/ver-corriente-chorro-cambio-climatico-tren-borrascas-azota-espana_1_12962100.html;eldiario.es;Dakaira;842531;1770280786;1770444002;206;1866;111;97;109;2;353;ciencia;" Aunque aún ""hay que estudiarlo"" más a fondo, según la AEMET, la 'jet stream', debilitada por la emisiones de CO2, está haciendo que las tormentas 'bajen' hasta la pensinsula ibérica en lugar de avanzar por el norte como es lo más habitual.  "
4144362;El PP ataca a la denunciante de acoso de Móstoles con bulos y la amenaza de acciones legales;https://elpais.com/espana/2026-02-06/el-pp-en-bloque-ataca-a-la-victima-de-acoso-de-mostoles-en-lo-laboral-lo-personal-y-lo-politico.html;elpais.com;Delay;756952;1770407522;1770435605;576;794;56;223;353;0;303;PPopulares; Miembros del partido denigran el trabajo que desempeñaba la exedil y la acusan de deslealtad por haber grabado conversaciones  
4144192;La exedil de Móstoles denunciará al alcalde por presunto acoso sexual y a la Comunidad por filtración de correos;https://www.europapress.es/madrid/noticia-exedil-mostoles-denunciara-alcalde-presunto-acoso-sexual-comunidad-filtracion-correos-20260206115907.html;europapress.es;Ratoncolorao;230183;1770376112;1770425704;427;426;23;173;254;0;314;politica;" El letrado sostiene que no denunció antes por encontrarse supuestamente ""coaccionada"" y que habría recibido presiones.  "
